"","yrmo","date","wntr","dow"
"1","1980-01",1980-01-01,1979,185
"2","1980-02",1980-02-01,1979,216
"3","1980-03",1980-03-01,1979,245
"4","1980-04",1980-04-01,1979,276
"5","1980-05",1980-05-01,1979,306
"6","1980-06",1980-06-01,1979,337
"7","1980-07",1980-07-01,1980,1
"8","1980-08",1980-08-01,1980,32
"9","1980-09",1980-09-01,1980,63
"10","1980-10",1980-10-01,1980,93
"11","1980-11",1980-11-01,1980,124
"12","1980-12",1980-12-01,1980,154
"13","1981-01",1981-01-01,1980,185
"14","1981-02",1981-02-01,1980,216
"15","1981-03",1981-03-01,1980,244
"16","1981-04",1981-04-01,1980,275
"17","1981-05",1981-05-01,1980,305
"18","1981-06",1981-06-01,1980,336
"19","1981-07",1981-07-01,1981,1
"20","1981-08",1981-08-01,1981,32
"21","1981-09",1981-09-01,1981,63
"22","1981-10",1981-10-01,1981,93
"23","1981-11",1981-11-01,1981,124
"24","1981-12",1981-12-01,1981,154
"25","1982-01",1982-01-01,1981,185
"26","1982-02",1982-02-01,1981,216
"27","1982-03",1982-03-01,1981,244
"28","1982-04",1982-04-01,1981,275
"29","1982-05",1982-05-01,1981,305
"30","1982-06",1982-06-01,1981,336
"31","1982-07",1982-07-01,1982,1
"32","1982-08",1982-08-01,1982,32
"33","1982-09",1982-09-01,1982,63
"34","1982-10",1982-10-01,1982,93
"35","1982-11",1982-11-01,1982,124
"36","1982-12",1982-12-01,1982,154
"37","1983-01",1983-01-01,1982,185
"38","1983-02",1983-02-01,1982,216
"39","1983-03",1983-03-01,1982,244
"40","1983-04",1983-04-01,1982,275
"41","1983-05",1983-05-01,1982,305
"42","1983-06",1983-06-01,1982,336
"43","1983-07",1983-07-01,1983,1
"44","1983-08",1983-08-01,1983,32
"45","1983-09",1983-09-01,1983,63
"46","1983-10",1983-10-01,1983,93
"47","1983-11",1983-11-01,1983,124
"48","1983-12",1983-12-01,1983,154
"49","1984-01",1984-01-01,1983,185
"50","1984-02",1984-02-01,1983,216
"51","1984-03",1984-03-01,1983,245
"52","1984-04",1984-04-01,1983,276
"53","1984-05",1984-05-01,1983,305
"54","1984-06",1984-06-01,1983,336
"55","1984-07",1984-07-01,1984,1
"56","1984-08",1984-08-01,1984,32
"57","1984-09",1984-09-01,1984,63
"58","1984-10",1984-10-01,1984,93
"59","1984-11",1984-11-01,1984,124
"60","1984-12",1984-12-01,1984,154
"61","1985-01",1985-01-01,1984,185
"62","1985-02",1985-02-01,1984,216
"63","1985-03",1985-03-01,1984,244
"64","1985-04",1985-04-01,1984,275
"65","1985-05",1985-05-01,1984,305
"66","1985-06",1985-06-01,1984,336
"67","1985-07",1985-07-01,1985,1
"68","1985-08",1985-08-01,1985,32
"69","1985-09",1985-09-01,1985,63
"70","1985-10",1985-10-01,1985,93
"71","1985-11",1985-11-01,1985,124
"72","1985-12",1985-12-01,1985,154
"73","1986-01",1986-01-01,1985,185
"74","1986-02",1986-02-01,1985,216
"75","1986-03",1986-03-01,1985,244
"76","1986-04",1986-04-01,1985,275
"77","1986-05",1986-05-01,1985,305
"78","1986-06",1986-06-01,1985,336
"79","1986-07",1986-07-01,1986,1
"80","1986-08",1986-08-01,1986,32
"81","1986-09",1986-09-01,1986,63
"82","1986-10",1986-10-01,1986,93
"83","1986-11",1986-11-01,1986,124
"84","1986-12",1986-12-01,1986,154
"85","1987-01",1987-01-01,1986,185
"86","1987-02",1987-02-01,1986,216
"87","1987-03",1987-03-01,1986,244
"88","1987-04",1987-04-01,1986,275
"89","1987-05",1987-05-01,1986,305
"90","1987-06",1987-06-01,1986,336
"91","1987-07",1987-07-01,1987,1
"92","1987-08",1987-08-01,1987,32
"93","1987-09",1987-09-01,1987,63
"94","1987-10",1987-10-01,1987,93
"95","1987-11",1987-11-01,1987,124
"96","1987-12",1987-12-01,1987,154
"97","1988-01",1988-01-01,1987,185
"98","1988-02",1988-02-01,1987,216
"99","1988-03",1988-03-01,1987,245
"100","1988-04",1988-04-01,1987,276
"101","1988-05",1988-05-01,1987,306
"102","1988-06",1988-06-01,1987,337
"103","1988-07",1988-07-01,1988,1
"104","1988-08",1988-08-01,1988,32
"105","1988-09",1988-09-01,1988,63
"106","1988-10",1988-10-01,1988,93
"107","1988-11",1988-11-01,1988,124
"108","1988-12",1988-12-01,1988,154
"109","1989-01",1989-01-01,1988,185
"110","1989-02",1989-02-01,1988,216
"111","1989-03",1989-03-01,1988,244
"112","1989-04",1989-04-01,1988,275
"113","1989-05",1989-05-01,1988,305
"114","1989-06",1989-06-01,1988,336
"115","1989-07",1989-07-01,1989,1
"116","1989-08",1989-08-01,1989,32
"117","1989-09",1989-09-01,1989,63
"118","1989-10",1989-10-01,1989,93
"119","1989-11",1989-11-01,1989,124
"120","1989-12",1989-12-01,1989,154
"121","1990-01",1990-01-01,1989,185
"122","1990-02",1990-02-01,1989,216
"123","1990-03",1990-03-01,1989,244
"124","1990-04",1990-04-01,1989,275
"125","1990-05",1990-05-01,1989,305
"126","1990-06",1990-06-01,1989,336
"127","1990-07",1990-07-01,1990,1
"128","1990-08",1990-08-01,1990,32
"129","1990-09",1990-09-01,1990,63
"130","1990-10",1990-10-01,1990,93
"131","1990-11",1990-11-01,1990,124
"132","1990-12",1990-12-01,1990,154
"133","1991-01",1991-01-01,1990,185
"134","1991-02",1991-02-01,1990,216
"135","1991-03",1991-03-01,1990,244
"136","1991-04",1991-04-01,1990,275
"137","1991-05",1991-05-01,1990,305
"138","1991-06",1991-06-01,1990,336
"139","1991-07",1991-07-01,1991,1
"140","1991-08",1991-08-01,1991,32
"141","1991-09",1991-09-01,1991,63
"142","1991-10",1991-10-01,1991,93
"143","1991-11",1991-11-01,1991,124
"144","1991-12",1991-12-01,1991,154
"145","1992-01",1992-01-01,1991,185
"146","1992-02",1992-02-01,1991,216
"147","1992-03",1992-03-01,1991,245
"148","1992-04",1992-04-01,1991,276
"149","1992-05",1992-05-01,1991,306
"150","1992-06",1992-06-01,1991,337
"151","1992-07",1992-07-01,1992,1
"152","1992-08",1992-08-01,1992,32
"153","1992-09",1992-09-01,1992,63
"154","1992-10",1992-10-01,1992,93
"155","1992-11",1992-11-01,1992,124
"156","1992-12",1992-12-01,1992,154
"157","1993-01",1993-01-01,1992,185
"158","1993-02",1993-02-01,1992,216
"159","1993-03",1993-03-01,1992,244
"160","1993-04",1993-04-01,1992,275
"161","1993-05",1993-05-01,1992,305
"162","1993-06",1993-06-01,1992,336
"163","1993-07",1993-07-01,1993,1
"164","1993-08",1993-08-01,1993,32
"165","1993-09",1993-09-01,1993,63
"166","1993-10",1993-10-01,1993,93
"167","1993-11",1993-11-01,1993,124
"168","1993-12",1993-12-01,1993,154
"169","1994-01",1994-01-01,1993,185
"170","1994-02",1994-02-01,1993,216
"171","1994-03",1994-03-01,1993,244
"172","1994-04",1994-04-01,1993,275
"173","1994-05",1994-05-01,1993,305
"174","1994-06",1994-06-01,1993,336
"175","1994-07",1994-07-01,1994,1
"176","1994-08",1994-08-01,1994,32
"177","1994-09",1994-09-01,1994,63
"178","1994-10",1994-10-01,1994,93
"179","1994-11",1994-11-01,1994,124
"180","1994-12",1994-12-01,1994,154
"181","1995-01",1995-01-01,1994,185
"182","1995-02",1995-02-01,1994,216
"183","1995-03",1995-03-01,1994,244
"184","1995-04",1995-04-01,1994,275
"185","1995-05",1995-05-01,1994,305
"186","1995-06",1995-06-01,1994,336
"187","1995-07",1995-07-01,1995,1
"188","1995-08",1995-08-01,1995,32
"189","1995-09",1995-09-01,1995,63
"190","1995-10",1995-10-01,1995,93
"191","1995-11",1995-11-01,1995,124
"192","1995-12",1995-12-01,1995,154
"193","1996-01",1996-01-01,1995,185
"194","1996-02",1996-02-01,1995,216
"195","1996-03",1996-03-01,1995,245
"196","1996-04",1996-04-01,1995,276
"197","1996-05",1996-05-01,1995,306
"198","1996-06",1996-06-01,1995,337
"199","1996-07",1996-07-01,1996,1
"200","1996-08",1996-08-01,1996,32
"201","1996-09",1996-09-01,1996,63
"202","1996-10",1996-10-01,1996,93
"203","1996-11",1996-11-01,1996,124
"204","1996-12",1996-12-01,1996,154
"205","1997-01",1997-01-01,1996,185
"206","1997-02",1997-02-01,1996,216
"207","1997-03",1997-03-01,1996,244
"208","1997-04",1997-04-01,1996,275
"209","1997-05",1997-05-01,1996,305
"210","1997-06",1997-06-01,1996,336
"211","1997-07",1997-07-01,1997,1
"212","1997-08",1997-08-01,1997,32
"213","1997-09",1997-09-01,1997,63
"214","1997-10",1997-10-01,1997,93
"215","1997-11",1997-11-01,1997,124
"216","1997-12",1997-12-01,1997,154
"217","1998-01",1998-01-01,1997,185
"218","1998-02",1998-02-01,1997,216
"219","1998-03",1998-03-01,1997,244
"220","1998-04",1998-04-01,1997,275
"221","1998-05",1998-05-01,1997,305
"222","1998-06",1998-06-01,1997,336
"223","1998-07",1998-07-01,1998,1
"224","1998-08",1998-08-01,1998,32
"225","1998-09",1998-09-01,1998,63
"226","1998-10",1998-10-01,1998,93
"227","1998-11",1998-11-01,1998,124
"228","1998-12",1998-12-01,1998,154
"229","1999-01",1999-01-01,1998,185
"230","1999-02",1999-02-01,1998,216
"231","1999-03",1999-03-01,1998,244
"232","1999-04",1999-04-01,1998,275
"233","1999-05",1999-05-01,1998,305
"234","1999-06",1999-06-01,1998,336
"235","1999-07",1999-07-01,1999,1
"236","1999-08",1999-08-01,1999,32
"237","1999-09",1999-09-01,1999,63
"238","1999-10",1999-10-01,1999,93
"239","1999-11",1999-11-01,1999,124
"240","1999-12",1999-12-01,1999,154
"241","2000-01",2000-01-01,1999,185
"242","2000-02",2000-02-01,1999,216
"243","2000-03",2000-03-01,1999,245
"244","2000-04",2000-04-01,1999,276
"245","2000-05",2000-05-01,1999,306
"246","2000-06",2000-06-01,1999,337
"247","2000-07",2000-07-01,2000,1
"248","2000-08",2000-08-01,2000,32
"249","2000-09",2000-09-01,2000,63
"250","2000-10",2000-10-01,2000,93
"251","2000-11",2000-11-01,2000,124
"252","2000-12",2000-12-01,2000,154
"253","2001-01",2001-01-01,2000,185
"254","2001-02",2001-02-01,2000,216
"255","2001-03",2001-03-01,2000,244
"256","2001-04",2001-04-01,2000,275
"257","2001-05",2001-05-01,2000,305
"258","2001-06",2001-06-01,2000,336
"259","2001-07",2001-07-01,2001,1
"260","2001-08",2001-08-01,2001,32
"261","2001-09",2001-09-01,2001,63
"262","2001-10",2001-10-01,2001,93
"263","2001-11",2001-11-01,2001,124
"264","2001-12",2001-12-01,2001,154
"265","2002-01",2002-01-01,2001,185
"266","2002-02",2002-02-01,2001,216
"267","2002-03",2002-03-01,2001,244
"268","2002-04",2002-04-01,2001,275
"269","2002-05",2002-05-01,2001,305
"270","2002-06",2002-06-01,2001,336
"271","2002-07",2002-07-01,2002,1
"272","2002-08",2002-08-01,2002,32
"273","2002-09",2002-09-01,2002,63
"274","2002-10",2002-10-01,2002,93
"275","2002-11",2002-11-01,2002,124
"276","2002-12",2002-12-01,2002,154
"277","2003-01",2003-01-01,2002,185
"278","2003-02",2003-02-01,2002,216
"279","2003-03",2003-03-01,2002,244
"280","2003-04",2003-04-01,2002,275
"281","2003-05",2003-05-01,2002,305
"282","2003-06",2003-06-01,2002,336
"283","2003-07",2003-07-01,2003,1
"284","2003-08",2003-08-01,2003,32
"285","2003-09",2003-09-01,2003,63
"286","2003-10",2003-10-01,2003,93
"287","2003-11",2003-11-01,2003,124
"288","2003-12",2003-12-01,2003,154
"289","2004-01",2004-01-01,2003,185
"290","2004-02",2004-02-01,2003,216
"291","2004-03",2004-03-01,2003,245
"292","2004-04",2004-04-01,2003,276
"293","2004-05",2004-05-01,2003,306
"294","2004-06",2004-06-01,2003,337
"295","2004-07",2004-07-01,2004,1
"296","2004-08",2004-08-01,2004,32
"297","2004-09",2004-09-01,2004,63
"298","2004-10",2004-10-01,2004,93
"299","2004-11",2004-11-01,2004,124
"300","2004-12",2004-12-01,2004,154
"301","2005-01",2005-01-01,2004,185
"302","2005-02",2005-02-01,2004,216
"303","2005-03",2005-03-01,2004,244
"304","2005-04",2005-04-01,2004,275
"305","2005-05",2005-05-01,2004,305
"306","2005-06",2005-06-01,2004,336
"307","2005-07",2005-07-01,2005,1
"308","2005-08",2005-08-01,2005,32
"309","2005-09",2005-09-01,2005,63
"310","2005-10",2005-10-01,2005,93
"311","2005-11",2005-11-01,2005,124
"312","2005-12",2005-12-01,2005,154
"313","2006-01",2006-01-01,2005,185
"314","2006-02",2006-02-01,2005,216
"315","2006-03",2006-03-01,2005,244
"316","2006-04",2006-04-01,2005,275
"317","2006-05",2006-05-01,2005,305
"318","2006-06",2006-06-01,2005,336
"319","2006-07",2006-07-01,2006,1
"320","2006-08",2006-08-01,2006,32
"321","2006-09",2006-09-01,2006,63
"322","2006-10",2006-10-01,2006,93
"323","2006-11",2006-11-01,2006,124
"324","2006-12",2006-12-01,2006,154
"325","2007-01",2007-01-01,2006,185
"326","2007-02",2007-02-01,2006,216
"327","2007-03",2007-03-01,2006,244
"328","2007-04",2007-04-01,2006,275
"329","2007-05",2007-05-01,2006,305
"330","2007-06",2007-06-01,2006,336
"331","2007-07",2007-07-01,2007,1
"332","2007-08",2007-08-01,2007,32
"333","2007-09",2007-09-01,2007,63
"334","2007-10",2007-10-01,2007,93
"335","2007-11",2007-11-01,2007,124
"336","2007-12",2007-12-01,2007,154
"337","2008-01",2008-01-01,2007,185
"338","2008-02",2008-02-01,2007,216
"339","2008-03",2008-03-01,2007,245
"340","2008-04",2008-04-01,2007,276
"341","2008-05",2008-05-01,2007,306
"342","2008-06",2008-06-01,2007,337
"343","2008-07",2008-07-01,2008,1
"344","2008-08",2008-08-01,2008,32
"345","2008-09",2008-09-01,2008,63
"346","2008-10",2008-10-01,2008,93
"347","2008-11",2008-11-01,2008,124
"348","2008-12",2008-12-01,2008,154
"349","2009-01",2009-01-01,2008,185
"350","2009-02",2009-02-01,2008,216
"351","2009-03",2009-03-01,2008,244
"352","2009-04",2009-04-01,2008,275
"353","2009-05",2009-05-01,2008,305
"354","2009-06",2009-06-01,2008,336
"355","2009-07",2009-07-01,2009,1
"356","2009-08",2009-08-01,2009,32
"357","2009-09",2009-09-01,2009,63
"358","2009-10",2009-10-01,2009,93
"359","2009-11",2009-11-01,2009,124
"360","2009-12",2009-12-01,2009,154
"361","2010-01",2010-01-01,2009,185
"362","2010-02",2010-02-01,2009,216
"363","2010-03",2010-03-01,2009,244
"364","2010-04",2010-04-01,2009,275
"365","2010-05",2010-05-01,2009,305
"366","2010-06",2010-06-01,2009,336
"367","2010-07",2010-07-01,2010,1
"368","2010-08",2010-08-01,2010,32
"369","2010-09",2010-09-01,2010,63
"370","2010-10",2010-10-01,2010,93
"371","2010-11",2010-11-01,2010,124
"372","2010-12",2010-12-01,2010,154
"373","2011-01",2011-01-01,2010,185
"374","2011-02",2011-02-01,2010,216
"375","2011-03",2011-03-01,2010,244
"376","2011-04",2011-04-01,2010,275
"377","2011-05",2011-05-01,2010,305
"378","2011-06",2011-06-01,2010,336
"379","2011-07",2011-07-01,2011,1
"380","2011-08",2011-08-01,2011,32
"381","2011-09",2011-09-01,2011,63
"382","2011-10",2011-10-01,2011,93
"383","2011-11",2011-11-01,2011,124
"384","2011-12",2011-12-01,2011,154
"385","2012-01",2012-01-01,2011,185
"386","2012-02",2012-02-01,2011,216
"387","2012-03",2012-03-01,2011,245
"388","2012-04",2012-04-01,2011,276
"389","2012-05",2012-05-01,2011,306
"390","2012-06",2012-06-01,2011,337
"391","2012-07",2012-07-01,2012,1
"392","2012-08",2012-08-01,2012,32
"393","2012-09",2012-09-01,2012,63
"394","2012-10",2012-10-01,2012,93
"395","2012-11",2012-11-01,2012,124
"396","2012-12",2012-12-01,2012,154
"397","2013-01",2013-01-01,2012,185
"398","2013-02",2013-02-01,2012,216
"399","2013-03",2013-03-01,2012,244
"400","2013-04",2013-04-01,2012,275
"401","2013-05",2013-05-01,2012,305
"402","2013-06",2013-06-01,2012,336
"403","2013-07",2013-07-01,2013,1
"404","2013-08",2013-08-01,2013,32
"405","2013-09",2013-09-01,2013,63
"406","2013-10",2013-10-01,2013,93
"407","2013-11",2013-11-01,2013,124
"408","2013-12",2013-12-01,2013,154
"409","2014-01",2014-01-01,2013,185
"410","2014-02",2014-02-01,2013,216
"411","2014-03",2014-03-01,2013,244
"412","2014-04",2014-04-01,2013,275
"413","2014-05",2014-05-01,2013,305
"414","2014-06",2014-06-01,2013,336
"415","2014-07",2014-07-01,2014,1
"416","2014-08",2014-08-01,2014,32
"417","2014-09",2014-09-01,2014,63
"418","2014-10",2014-10-01,2014,93
"419","2014-11",2014-11-01,2014,124
"420","2014-12",2014-12-01,2014,154
"421","2015-01",2015-01-01,2014,185
"422","2015-02",2015-02-01,2014,216
"423","2015-03",2015-03-01,2014,244
"424","2015-04",2015-04-01,2014,275
"425","2015-05",2015-05-01,2014,305
"426","2015-06",2015-06-01,2014,336
"427","2015-07",2015-07-01,2015,1
"428","2015-08",2015-08-01,2015,32
"429","2015-09",2015-09-01,2015,63
"430","2015-10",2015-10-01,2015,93
"431","2015-11",2015-11-01,2015,124
"432","2015-12",2015-12-01,2015,154
"433","2016-01",2016-01-01,2015,185
"434","2016-02",2016-02-01,2015,216
"435","2016-03",2016-03-01,2015,245
"436","2016-04",2016-04-01,2015,276
"437","2016-05",2016-05-01,2015,306
"438","2016-06",2016-06-01,2015,337
"439","2016-07",2016-07-01,2016,1
"440","2016-08",2016-08-01,2016,32
"441","2016-09",2016-09-01,2016,63
"442","2016-10",2016-10-01,2016,93
"443","2016-11",2016-11-01,2016,124
"444","2016-12",2016-12-01,2016,154
"445","2017-01",2017-01-01,2016,185
"446","2017-02",2017-02-01,2016,216
"447","2017-03",2017-03-01,2016,244
"448","2017-04",2017-04-01,2016,275
"449","2017-05",2017-05-01,2016,305
"450","2017-06",2017-06-01,2016,336
"451","2017-07",2017-07-01,2017,1
"452","2017-08",2017-08-01,2017,32
"453","2017-09",2017-09-01,2017,63
"454","2017-10",2017-10-01,2017,93
"455","2017-11",2017-11-01,2017,124
"456","2017-12",2017-12-01,2017,154
"457","2018-01",2018-01-01,2017,185
"458","2018-02",2018-02-01,2017,216
"459","2018-03",2018-03-01,2017,244
"460","2018-04",2018-04-01,2017,275
"461","2018-05",2018-05-01,2017,305
"462","2018-06",2018-06-01,2017,336
"463","2018-07",2018-07-01,2018,1
"464","2018-08",2018-08-01,2018,32
"465","2018-09",2018-09-01,2018,63
"466","2018-10",2018-10-01,2018,93
"467","2018-11",2018-11-01,2018,124
"468","2018-12",2018-12-01,2018,154
"469","2019-01",2019-01-01,2018,185
"470","2019-02",2019-02-01,2018,216
"471","2019-03",2019-03-01,2018,244
"472","2019-04",2019-04-01,2018,275
"473","2019-05",2019-05-01,2018,305
"474","2019-06",2019-06-01,2018,336
"475","2019-07",2019-07-01,2019,1
"476","2019-08",2019-08-01,2019,32
"477","2019-09",2019-09-01,2019,63
"478","2019-10",2019-10-01,2019,93
"479","2019-11",2019-11-01,2019,124
"480","2019-12",2019-12-01,2019,154
