station,Latitude,longitude,Region,UnitSub
JB01,61.14944,-149.547,1,1
JB02,61.14596,-149.534,1,1
MV,63.43067603,-150.366498,1,1
P002,61.80948,-149.23418,1,1
P003,61.795912,-149.272744,1,1
P005,61.781319,-149.332478,1,1
P007,61.771669,-149.307037,1,1
P008,61.7676149,-149.347223,1,1
P010A,61.76157299,-149.323738,1,1
P037,65.500575,-145.33842,1,1
P038,65.494097,-145.441584,1,1
P039,65.498644,-145.500423,1,1
P042,65.483216,-145.401455,1,1
P051,65.407041,-146.007,1,1
P060,65.373228,-146.636898,1,1
P063,63.49724,-145.80457,1,1
P092,63.12284192,-146.2469075,1,1
P094,63.12132999,-146.18567,1,1
P100,63.08387999,-145.63512,1,1
P111,63.08770004,-146.3077,1,1
P118,63.08574,-146.36537,1,1
P119,63.08487073,-146.3910338,1,1
P128,63.074222,-146.231861,1,1
P133,63.801632,-148.979144,1,1
P135,63.748337,-148.872317,1,1
P138,63.739354,-149.281669,1,1
P146A,63.43659097,-150.316008,1,1
P147,63.35586302,-148.376847,1,1
P152A,61.77111,-149.38722,1,1
P153,65.363468,-146.565185,1,1
P157,65.394559,-146.010144,1,1
P250,63.434519,-150.313772,1,1
P300,61.81248601,-149.2166,1,1
P301,60.76243596,-148.847649,1,1
P302,61.04757104,-149.596296,1,1
P303,61.093388,-149.664699,1,1
P601,62.88168199,-149.688893,1,1
P604,61.14130997,-145.75734,1,1
P605A,61.15659999,-145.737699,1,1
P609,61.78226799,-147.6702842,1,1
P612,63.10763698,-146.106103,1,1
P615,61.05958197,-149.115395,1,1
P616,60.96205727,-149.0798976,1,1
P617,61.06619303,-149.599522,1,1
P618,63.05550196,-145.587427,1,1
P619,63.73997597,-149.247713,1,1
Polychrome,63.53560698,-149.828615,1,1